City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Mar Del Plata,AR,-38.0023,-57.5575,64.4,68,90,17.27,overcast clouds
125,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.6,58,79,3.31,moderate rain
126,Berlevag,NO,70.8578,29.0864,26.6,93,90,6.91,snow
127,Kropotkin,RU,45.4375,40.5756,43.84,85,100,9.51,light rain
128,Mecca,SA,21.4267,39.8261,74.26,46,0,2.26,clear sky
129,Santo Tomas,PH,14.1079,121.1414,75.2,78,40,1.14,scattered clouds
130,Hami,CN,42.8,93.45,25.18,79,0,7.49,clear sky
131,Jiexiu,CN,37.0244,111.9125,35.28,63,0,7.61,clear sky
132,Guadalupe Y Calvo,MX,26.1,-106.9667,69.46,22,53,3.11,broken clouds
133,Tiksi,RU,71.6872,128.8694,-26.52,86,100,7.07,overcast clouds
134,Victor Harbor,AU,-35.5667,138.6167,63.0,82,100,1.01,overcast clouds
135,Ancud,CL,-41.8697,-73.8203,71.6,46,0,6.91,clear sky
136,Cape Town,ZA,-33.9258,18.4232,70.0,88,75,9.22,light rain
137,Najran,SA,17.4924,44.1277,59.0,38,0,2.3,clear sky
138,Basoko,CD,1.2391,23.616,78.64,57,100,2.04,overcast clouds
139,Hovd,MN,48.0056,91.6419,4.42,88,29,2.08,scattered clouds
140,Saldanha,ZA,-33.0117,17.9442,66.67,90,76,7.0,light rain
141,Mananjary,MG,-21.2167,48.3333,80.02,83,25,7.07,light rain
142,Baykit,RU,61.67,96.37,-32.39,77,27,0.65,scattered clouds
143,Tabas,IR,33.5959,56.9244,50.0,34,24,4.61,few clouds
144,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,58,40,17.27,scattered clouds
145,Salalah,OM,17.0151,54.0924,71.6,64,0,3.44,clear sky
146,Fare,PF,-16.7,-151.0167,81.03,75,98,12.12,overcast clouds
147,Montepulciano,IT,43.1017,11.7868,48.99,87,93,3.67,overcast clouds
148,Hilo,US,19.7297,-155.09,72.0,78,90,8.05,light rain
149,Sharjah,AE,25.3573,55.4033,68.0,64,0,3.44,clear sky
150,Bethel,US,41.3712,-73.414,23.0,49,90,2.75,overcast clouds
151,Norwich,GB,52.6278,1.2983,37.4,75,20,10.36,few clouds
152,Yerbogachen,RU,61.2767,108.0108,-34.83,79,93,5.41,overcast clouds
153,Mahebourg,MU,-20.4081,57.7,80.6,78,75,11.5,broken clouds
154,Urucui,BR,-7.2294,-44.5561,90.95,47,91,7.34,overcast clouds
